iter	Passed	Remaining
0	5	6033
1	12	7565
2	19	7831
3	26	8001
4	33	8078
5	46	9218
6	53	9134
7	61	9176
8	69	9161
9	80	9549
10	88	9523
11	96	9557
12	103	9464
13	116	9831
14	129	10191
15	135	9994
16	144	10066
17	150	9903
18	162	10078
19	179	10586
20	184	10355
21	197	10553
22	205	10513
23	211	10383
24	216	10197
25	228	10304
26	236	10267
27	244	10234
28	254	10275
29	261	10194
30	266	10062
31	274	10007
32	281	9964
33	289	9933
34	297	9892
35	303	9817
36	312	9831
37	320	9813
38	325	9693
39	329	9568
40	338	9582
41	347	9590
42	357	9609
43	363	9560
44	372	9567
45	382	9606
46	389	9548
47	393	9455
48	404	9491
49	411	9467
50	421	9486
51	427	9448
52	435	9434
53	449	9543
54	457	9516
55	464	9480
56	475	9528
57	485	9561
58	493	9548
59	506	9616
60	518	9685
61	525	9639
62	535	9663
63	542	9623
64	551	9622
65	558	9600
66	570	9642
67	576	9589
68	583	9568
69	591	9552
70	603	9593
71	612	9599
72	620	9584
73	631	9602
74	637	9566
75	643	9510
