iter	Logloss
0	0.6929138418
1	0.6922947118
2	0.6915074381
3	0.6910058362
4	0.6906652414
5	0.6901920685
6	0.6897187608
7	0.6894991625
8	0.6892433424
9	0.6888063276
10	0.6884112848
11	0.6879823466
12	0.6876381876
13	0.6873516506
14	0.6870054288
15	0.6868521719
16	0.6865735557
17	0.6864711274
18	0.6864289752
19	0.6861898713
20	0.6860956911
21	0.6858957426
22	0.6857867766
23	0.6857296729
24	0.685689824
25	0.685575667
26	0.6853820909
27	0.6853260832
28	0.6851376598
29	0.6849491725
30	0.6849217127
31	0.6848126619
32	0.6846692139
33	0.684619863
34	0.6845253866
35	0.684518232
36	0.6843767383
37	0.6843294245
38	0.6843133436
39	0.6843044506
40	0.6841779214
41	0.6840729285
42	0.6840160034
43	0.684002944
44	0.6839839279
45	0.6839115777
46	0.683903551
47	0.6838929867
48	0.683812627
49	0.6837456648
50	0.6836728425
51	0.6836071553
52	0.6835855336
53	0.6835109488
54	0.6835074142
55	0.6834561298
56	0.6833874211
57	0.6833773778
58	0.683342321
59	0.683312814
60	0.6832836426
61	0.6832763717
62	0.6832365106
63	0.6832313712
64	0.6832060072
65	0.6831973317
66	0.6831662952
67	0.6831615051
68	0.6831599612
69	0.68311951
70	0.6830913258
71	0.6830651817
72	0.6830645066
73	0.6830360411
74	0.6830359674
75	0.6830276041
