iter	Passed	Remaining
0	7	9337
1	14	8865
2	20	8185
3	27	8107
4	85	20444
5	141	28219
6	204	34831
7	248	37050
8	301	39882
9	347	41293
10	412	44584
11	472	46741
12	508	46438
13	551	46707
14	593	46878
15	618	45760
16	640	44570
17	665	43693
18	679	42211
19	692	40872
20	705	39619
21	722	38707
22	728	37286
23	735	36050
24	744	34994
25	757	34202
26	772	33541
27	780	32668
28	794	32080
29	802	31294
30	817	30832
31	826	30163
32	835	29551
33	842	28900
34	850	28307
35	855	27673
36	860	27042
37	870	26614
38	878	26158
39	889	25806
40	894	25288
41	903	24919
42	907	24429
43	920	24188
44	936	24038
45	953	23925
46	971	23831
47	982	23569
48	997	23423
49	1009	23219
50	1016	22901
51	1024	22618
52	1038	22473
53	1048	22251
54	1057	22010
55	1069	21846
