iter	Logloss
0	0.5943718676
1	0.5168275181
2	0.4567301655
3	0.4135566094
4	0.3875024274
5	0.3624498585
6	0.3416078521
7	0.3257476462
8	0.3171667595
9	0.3086333686
10	0.3009150487
11	0.2956685583
12	0.2920422828
13	0.2872300752
14	0.2853882389
15	0.2827596716
16	0.2793937409
17	0.2771965268
18	0.2754345194
19	0.274163563
20	0.2727760622
21	0.2714480641
22	0.2704334685
23	0.2693882162
24	0.2678269214
25	0.2672095033
26	0.2667143983
27	0.2660000492
28	0.2652199164
29	0.2645094908
30	0.263899252
31	0.2631929413
32	0.2628769654
33	0.2625762367
34	0.2623713858
35	0.2620186405
36	0.2615872311
37	0.2612281401
38	0.2609613921
39	0.2606778684
40	0.2603758092
41	0.2601583878
42	0.2599905435
43	0.2597013416
44	0.2596056201
45	0.2594673862
46	0.2592261347
47	0.2589464784
48	0.2585808944
49	0.2584035779
50	0.2580960417
51	0.2578946173
52	0.2576922633
53	0.2574446677
54	0.2571630812
55	0.2570259194
56	0.2568691135
57	0.2566541297
58	0.2564227168
59	0.2563248952
60	0.2562029301
61	0.2560013318
62	0.2558144825
63	0.2556717595
64	0.2554497979
65	0.2553560035
66	0.2549003467
67	0.2548754061
68	0.2546559974
69	0.2545177295
70	0.2543631172
71	0.2541775436
72	0.2540790311
73	0.2538435182
74	0.253668385
75	0.2535656208
76	0.2534207683
77	0.2533067708
78	0.2531200973
79	0.2528616863
80	0.2525551822
81	0.2524540233
82	0.2522802803
83	0.2520258653
84	0.2518856528
85	0.2516192495
86	0.2513809661
87	0.2511315817
88	0.2509510507
89	0.250732829
90	0.2505852814
91	0.2503658049
92	0.2500505767
93	0.2498415246
94	0.2497218407
95	0.2495214312
96	0.2492590966
97	0.2492095457
98	0.2490478562
99	0.2488590573
100	0.2486617803
101	0.2485509244
102	0.2483669481
103	0.2482205973
104	0.2479742083
105	0.2478284611
106	0.247538966
107	0.247468031
108	0.2472568715
109	0.2472180277
110	0.2469380553
111	0.2467294444
112	0.2465542114
113	0.2463448179
114	0.2461380159
115	0.245959445
116	0.2457576575
117	0.2455959253
118	0.2453577975
119	0.2451046635
120	0.2449600484
121	0.2449348208
122	0.2447722425
123	0.2447415338
124	0.2445904177
125	0.2443923892
126	0.2442544572
127	0.244235923
128	0.2440107094
129	0.2437724374
130	0.2435562896
131	0.2434404376
132	0.2432252129
133	0.2431026693
134	0.243008425
135	0.2428836762
136	0.2427858401
137	0.2426270873
138	0.2424438109
139	0.2422162515
140	0.2420289347
141	0.2419507954
142	0.2418275793
143	0.2416845746
144	0.2415238881
145	0.2413548266
146	0.2412656341
147	0.2412248041
148	0.2410734492
149	0.2409503462
150	0.2407940544
151	0.2407681863
152	0.2406051323
153	0.2405506813
154	0.2405338172
155	0.2404015679
156	0.2401380958
157	0.2399493069
158	0.2398712226
159	0.2397666268
160	0.2396244005
161	0.2394671393
162	0.2392802099
163	0.2391916186
164	0.239119019
165	0.2389660965
166	0.2388417004
167	0.2387295843
168	0.238679814
169	0.2386001089
170	0.2383344416
171	0.2383125839
172	0.2382741285
173	0.2382451082
174	0.2382090428
175	0.2382014794
176	0.2379918886
177	0.2378121997
178	0.2377120029
179	0.2375306283
180	0.2375203107
181	0.2373868516
182	0.2372969543
183	0.2371263207
184	0.2369941765
185	0.2368411354
186	0.2367109408
187	0.2365967268
188	0.2365849588
189	0.2365256961
190	0.2363986853
191	0.2362434957
192	0.2360532735
193	0.2359868274
194	0.2359183701
195	0.2358135285
196	0.2357252364
197	0.2356014999
198	0.2354298868
199	0.2353104236
