iter	Logloss
0	0.6927497319
1	0.6919720232
2	0.6908559437
3	0.6901162538
4	0.6892972534
5	0.6887063366
6	0.6881752001
7	0.6875817574
8	0.6868708117
9	0.6862693073
10	0.6857610506
11	0.6854526446
12	0.6849807911
13	0.684790514
14	0.6846906437
15	0.6846281373
16	0.6842488284
17	0.684053992
18	0.6837818171
19	0.6835235612
20	0.6833879486
21	0.6831688139
22	0.6829696842
23	0.6826935581
24	0.6826513364
25	0.6825612308
26	0.6823785706
27	0.6822879414
28	0.6822071065
29	0.6820798472
30	0.6820027876
31	0.6818411299
32	0.6816829751
33	0.6815585686
34	0.6814584392
35	0.681350621
36	0.6812494489
37	0.6812294152
38	0.6810997289
39	0.681092367
40	0.6810773826
41	0.6809748655
42	0.6808943398
43	0.6808360319
44	0.6808108058
45	0.6808108362
46	0.6807865056
47	0.6807850616
48	0.6806864053
49	0.680663448
50	0.6805862152
51	0.6805455585
52	0.6804866562
53	0.6804812524
54	0.6804570738
55	0.6804068622
56	0.6803681285
57	0.6802963673
58	0.6802848822
59	0.6802713989
60	0.6802701295
61	0.6802702692
62	0.6802687218
63	0.6802127969
64	0.6802011997
65	0.6801223238
66	0.6801149295
67	0.6800398916
68	0.6799650924
69	0.6799078998
70	0.6798900808
71	0.6798894001
72	0.6798804142
73	0.6798794655
74	0.6798783215
75	0.6798756447
