iter	Logloss
0	0.692238863
1	0.6913974302
2	0.6909492854
3	0.6903150329
4	0.6899507693
5	0.6892192285
6	0.6889256208
7	0.6882328025
8	0.6878156623
9	0.6872682656
10	0.686933208
11	0.686742421
12	0.6863990336
13	0.6862620205
14	0.6858247026
15	0.6856032058
16	0.6853296936
17	0.685299677
18	0.68519158
19	0.6850936283
20	0.6848268886
21	0.6847310187
22	0.684434037
23	0.6843408566
24	0.6843189825
25	0.6841571854
26	0.6840362358
27	0.6838650296
28	0.6837084548
29	0.6835738967
30	0.6834089616
31	0.683295973
32	0.6831512886
33	0.6830361073
34	0.6829423146
35	0.682878846
36	0.6828649282
37	0.6828440376
38	0.682798768
39	0.6827174145
40	0.682587203
41	0.682499697
42	0.6824778813
43	0.6824191195
44	0.6822603839
45	0.6821882128
46	0.6820654945
47	0.6820573342
48	0.6819932783
49	0.6819119179
50	0.6818522842
51	0.6817365308
52	0.6817286023
53	0.6816957872
54	0.6816880134
55	0.6815852833
56	0.6815810869
