iter	Passed	Remaining
0	11	14033
1	22	13338
2	30	12353
3	45	13518
4	52	12442
5	59	11901
6	65	11202
7	74	11103
8	83	11028
9	91	10834
10	97	10552
11	102	10194
12	111	10183
13	117	9925
14	128	10123
15	133	9897
16	144	10049
17	149	9833
18	156	9703
19	161	9510
20	170	9548
21	177	9507
22	185	9470
23	195	9563
24	200	9436
25	212	9595
26	221	9636
27	230	9650
28	240	9696
29	247	9641
30	255	9621
31	261	9559
32	271	9588
33	278	9534
34	285	9498
35	294	9522
36	300	9432
37	306	9358
38	312	9309
39	322	9348
40	331	9382
41	342	9433
42	348	9371
43	356	9359
44	364	9343
45	373	9375
46	380	9336
47	386	9276
48	394	9265
49	402	9267
50	411	9267
51	424	9368
52	430	9316
53	437	9290
54	442	9206
55	450	9209
56	455	9129
