iter	Passed	Remaining
0	6	7571
1	15	9102
2	22	9168
3	31	9530
4	37	8945
5	46	9324
6	53	9135
7	61	9160
8	68	9002
9	75	8972
10	83	8996
11	92	9151
12	102	9325
13	109	9283
14	117	9254
15	125	9280
16	133	9317
17	147	9657
18	153	9567
19	166	9799
20	181	10193
21	197	10550
22	204	10447
23	216	10630
24	225	10578
25	232	10494
26	245	10657
27	254	10662
28	267	10816
29	281	10976
30	291	10987
31	301	10996
32	314	11117
33	331	11354
34	344	11476
35	350	11325
36	359	11301
37	370	11324
38	380	11326
39	389	11289
40	401	11360
41	416	11469
42	429	11558
43	437	11500
44	447	11495
45	462	11590
46	475	11673
47	481	11556
48	496	11653
49	509	11728
50	524	11806
51	532	11744
52	544	11781
53	555	11789
54	563	11740
55	574	11735
56	581	11651
57	591	11654
58	606	11728
59	620	11796
60	628	11743
61	634	11647
62	645	11650
63	652	11590
64	662	11568
65	672	11561
66	684	11568
67	691	11508
68	698	11444
69	711	11481
