iter	Logloss
0	0.6927431069
1	0.6920184654
2	0.6910416383
3	0.6903830575
4	0.6900335969
5	0.6893391031
6	0.6888325573
7	0.6882180518
8	0.6877725963
9	0.6873030762
10	0.6868667875
11	0.6865523817
12	0.686226477
13	0.6860972818
14	0.6857611545
15	0.6855159602
16	0.6852173069
17	0.6848378439
18	0.6848200109
19	0.684535076
20	0.68422276
21	0.6840606139
22	0.6839634742
23	0.6838929575
24	0.6838512617
25	0.683734876
26	0.6835899019
27	0.6833611567
28	0.6831390815
29	0.6831003856
30	0.6828597912
31	0.6827319916
32	0.682593899
33	0.6824089452
34	0.6822643477
35	0.6822420674
36	0.6821830232
37	0.6820761479
38	0.6820251529
39	0.6820139698
40	0.6818852612
41	0.6817806338
42	0.6817597071
43	0.6817474234
44	0.6816400111
45	0.6816047287
46	0.6814827718
47	0.6814738449
48	0.6814045006
49	0.6814031585
50	0.6813030582
51	0.6812982185
52	0.6812623311
53	0.6811983369
54	0.6811404405
55	0.6811006306
56	0.6810743939
57	0.681057625
58	0.6809889576
59	0.6809532517
60	0.6808901473
61	0.6808741069
62	0.6807903429
63	0.6807667167
64	0.6807423607
65	0.68073524
66	0.6806744491
67	0.6806676519
68	0.680662215
69	0.6806594373
